,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
2803602164,https://www.justbooks.fr/search/?keywords=2803602164&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Comanche,2,Les guerriers du désespoir,COMAN,o,,"HERMANN, Yves; GREG",,,LOMBARD,1996,Couverture souple,français,"Brand new, bookstore quality. Ready to ship with tracking information.",,https://pictures.abebooks.com/isbn/9782803602162-us-300.jpg,"€51,46",
9782205054255,https://www.justbooks.fr/search/?keywords=9782205054255&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Combat ordinaire,1,"Le Combat ordinaire, tome 1",COMBA,o,,,,,Dargaud,2006,Couverture rigide,Français,54pages. 31x24x1cm. Relié.,4.20 Note moyenne,https://pictures.abebooks.com/isbn/9782205054255-us-300.jpg,,NaN
9782205061406,https://www.justbooks.fr/search/?keywords=9782205061406&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Combat ordinaire,4,Planter des clous,COMBA,o,,Larcenet Manu,,,Dargaud,2008,Couverture souple,Français,,4.25 Note moyenne,https://pictures.abebooks.com/isbn/9782205061406-us-300.jpg,"€18,89",NaN
2203338105,https://www.justbooks.fr/search/?keywords=2203338105&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Compagnons du Crépuscule,1,Le sortilège du bois des brumes,COMPA,o,,Bourgeon FranÃ§ois,,,Casterman,1993,Couverture souple,français,,4.11 Note moyenne,https://pictures.abebooks.com/isbn/9782203338104-us-300.jpg,"€187,71",
2203338113,https://www.justbooks.fr/search/?keywords=2203338113&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Compagnons du Crépuscule,2,Les yeux d'étain de la ville glauque,COMPA,o,,"Bourgeon, FrancÌ§ois",,,Casterman,1986,,français,Rare book,4.17 Note moyenne,https://pictures.abebooks.com/isbn/9782203338111-us-300.jpg,"€4,74",
220333830X,https://www.justbooks.fr/search/?keywords=220333830X&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Compagnons du Crépuscule,3,Le Dernier Chant Des Malaterre,COMPA,o,,,,,Casterman,,Couverture rigide,français,,4.32 Note moyenne,https://pictures.abebooks.com/isbn/9782203338302-us-300.jpg,"€8,33",
9782723411820,https://www.justbooks.fr/search/?keywords=9782723411820&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Compagnons du rêve,1,L'ombre du Mangou,COMPA,o,,Nataël,,,Glénat,1990,,Français,,,https://pictures.abebooks.com/isbn/9782723411820-us-300.jpg,"€10,31",NaN
9782723413152,https://www.justbooks.fr/search/?keywords=9782723413152&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Compagnons du rêve,2,La fenêtre oubliée,COMPA,o,,Nataël,,,Glénat,1991,Couverture souple,Français,,1.00 Note moyenne,https://pictures.abebooks.com/isbn/9782723413152-us-300.jpg,,NaN
9782871290711,https://www.justbooks.fr/search/?keywords=9782871290711&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,La Complainte des Landes perdues,1,Sioban,COMPL,o,,Jean Dufaux,,,Dargaud,1993,Couverture souple,Français,,3.59 Note moyenne,https://pictures.abebooks.com/isbn/9782871290711-us-300.jpg,"€15,94",NaN
9782871290780,https://www.justbooks.fr/search/?keywords=9782871290780&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,La Complainte des Landes perdues,2,Blackmore,COMPL,o,,Rosinski/Dufaux,,,Dargaud,1994,Couverture souple,Français,31x24x1cm. Relié.,,https://pictures.abebooks.com/isbn/9782871290780-us-300.jpg,"€10,90",NaN
